timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620226675349,529,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636729&user=1964540572&conf=1,529,0,0
1620226677378,442,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,442,0,0
1620226678349,469,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,469,0,1
1620226679320,436,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,436,0,0
1620226680319,436,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,436,0,0
1620226681256,437,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,437,0,0
1620226681348,470,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,470,0,0
1620226682255,440,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,440,0,0
1620226683195,439,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,439,0,0
1620226683319,445,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,445,0,0
1620226684196,441,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,441,0,0
1620226684350,473,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,473,0,1
1620226685134,443,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620226685264,443,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620226686137,443,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620226686323,443,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620226687077,447,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,447,0,0
