timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620233574743,497,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636729&user=1964540572&conf=1,496,0,17
1620233576742,438,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,438,0,0
1620233577654,470,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,470,0,1
1620233578681,440,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636729&user=1964540572&conf=1,440,0,0
1620233579625,439,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,439,0,0
1620233580622,443,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620233580654,476,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,476,0,1
1620233581568,443,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636729&user=1964540572&conf=1,443,0,0
1620233582566,444,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,444,0,0
1620233582632,444,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,444,0,0
1620233583512,447,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,447,0,0
1620233583654,477,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,477,0,0
1620233584511,449,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,449,0,0
1620233584577,450,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636729&user=1964540572&conf=1,450,0,0
1620233585460,449,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,449,0,0
1620233585632,447,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,447,0,0
1620233586461,448,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,448,0,0
1620233586528,461,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,461,0,0
1620233586653,490,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,489,0,1
1620233587410,453,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,453,0,0
1620233587579,452,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636729&user=1964540572&conf=1,452,0,0
1620233588410,451,HTTP Request,200,OK,Thread Group 1-1,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,451,0,0
1620233588490,449,HTTP Request,200,OK,Thread Group 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,449,0,0
1620233588644,451,HTTP Request,200,OK,Thread Group 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,451,0,0
1620233589364,451,HTTP Request,200,OK,Thread Group 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,451,0,0
1620233589532,452,HTTP Request,200,OK,Thread Group 1-4,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,452,0,0
1620233589653,486,HTTP Request,200,OK,Thread Group 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466636729&user=1964540572&conf=1,486,0,0
